request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_38,182.82,affordable_later,wait,2025-09-15:971.30,2025-09-15,none,Pay EUR 971.3 in full on 15 September 2025. Paying earlier would take the balance below the EUR 400 minimum.
request_39,50841.31,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Pay INR 208,600 in full on 15 June 2026. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,332.46,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1,500 minimum protected."
request_41,10114398.11,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,"Pay IDR 38,760,000 in full on 15 December 2025. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available."
request_43,8443757.75,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Pay IDR 43,339,000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,32356.6,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Pay INR 95,800 in full on 15 April 2025. Paying earlier would take the balance below the INR 82,900 minimum."
request_45,3614476.62,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Pay IDR 21,983,000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,36858.4,affordable_with_plan,partial_payment,2024-12-03:36858.40|2024-12-15:12591.60,2024-12-15,none,"Pay INR 36,858.4 today and the remaining INR 12,591.6 on 15 December 2024. This completes the full request and keeps the INR 84,000 minimum protected."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 30,049,000 available."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available."
request_49,11974188.05,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 May 2024. None of the available options keeps the IDR 20,275,700 minimum protected."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available."
request_52,18701.97,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 15 June 2024. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,477.89,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-15,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2,100 available."
request_54,2064.79,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 August 2026. None of the available options keeps the ZAR 37,000 minimum protected."
request_55,112109.03,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 August 2026. None of the available options keeps the INR 124,300 minimum protected."
request_56,623.64,affordable_with_plan,partial_payment,2025-02-03:623.64|2025-02-15:257.92,2025-02-15,none,"Pay USD 623.64 today and the remaining USD 257.92 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,12657.18,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 42,700 minimum."
request_58,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 January 2025. None of the available options keeps the IDR 14,433,900 minimum protected."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 132,600 available."
request_60,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 4 March 2026. None of the available options keeps the USD 400 minimum protected.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available."
request_63,48621.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 September 2026. None of the available options keeps the INR 153,500 minimum protected."
request_64,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected."
request_65,6459.6,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 15,500 minimum protected."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available."
request_67,292.95,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Pay USD 2,094 in full on 15 November 2024. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1455.49,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-15,none,"Use 3 installments of USD 725.09, starting 14 February 2025. This leaves at least USD 1,500 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.1 today. This leaves at least EUR 700 available.
request_70,42613.52,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Pay INR 243,900 in full on 15 February 2025. Paying earlier would take the balance below the INR 115,000 minimum."
request_71,348249.69,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 May 2025. None of the available options keeps the IDR 8,884,800 minimum protected."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available."
request_75,28130.92,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,,none,"Use 3 installments of ZAR 9,800.27, starting 9 April 2026. This leaves at least ZAR 39,000 available."
request_76,339.49,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 July 2024. None of the available options keeps the USD 1,800 minimum protected."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700 today. This leaves at least INR 82,200 available."
request_78,48871.89,affordable_with_plan,full_payment,2025-10-02:50200,2025-10-15,reduce_to:event_7225:1480,"Make the required spending adjustments, then pay INR 50,200 today. This keeps the projected balance above the required minimum."
request_79,343.33,not_affordable,not_recommended,none,,none,"Do not make this payment by 1 November 2024. None of the available options keeps the EUR 1,000 minimum protected."
request_80,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 February 2025. None of the available options keeps the INR 121,300 minimum protected."
request_81,1266.83,affordable_later,wait,2026-09-15:2076,2026-09-15,none,"Pay USD 2,076 in full on 15 September 2026. Paying earlier would take the balance below the USD 1,600 minimum."
request_82,303.17,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,"Pay USD 1,405.2 in full on 15 February 2025. Paying earlier would take the balance below the USD 1,100 minimum."
request_83,11621.73,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 June 2025. None of the available options keeps the INR 37,800 minimum protected."
request_84,27852.11,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Pay INR 95,400 in full on 15 June 2026. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,374061.81,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 April 2024. None of the available options keeps the IDR 6,396,300 minimum protected."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available."
request_87,36092.53,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 185,900 minimum protected."
request_88,10497.62,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 25,800 available."
request_89,9226703.57,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-15,reduce_to:event_8337:266760|stop:event_8335|reduce_to:event_8403:203300,"Use 3 installments of IDR 4,768,746.67, starting 18 November 2025. This leaves at least IDR 12,534,700 available."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available."
request_91,289.1,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1,927.2 in full on 15 November 2024. Paying earlier would take the balance below the EUR 2,100 minimum."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 today. This leaves at least ZAR 28,100 available."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.2 today. This leaves at least USD 1,900 available."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available.
request_95,34918.62,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2025. None of the available options keeps the INR 145,500 minimum protected."
request_96,74311.34,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,"Use 3 installments of INR 31,269.33, starting 10 January 2026. This leaves at least INR 56,500 available."
request_97,1833.87,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 29,700 available."
request_98,6620.72,affordable_later,wait,2025-10-15:27148,2025-10-15,none,"Pay ZAR 27,148 in full on 15 October 2025. Paying earlier would take the balance below the ZAR 30,000 minimum."
request_99,16890.9,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9232:1065.90,"Make the required spending adjustments, then pay ZAR 18,062 today. This keeps the projected balance above the required minimum."
request_100,26604.43,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12,866.19, starting 13 June 2024. This leaves at least ZAR 32,500 available."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,1095.3,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 October 2024. None of the available options keeps the INR 125,500 minimum protected."
request_104,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the ZAR 24,700 minimum protected."
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Pay INR 53,500 today. This leaves at least INR 73,900 available."
request_106,368.11,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Pay EUR 2,207.7 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 July 2025. None of the available options keeps the EUR 1,600 minimum protected."
request_108,2317.44,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 July 2026. None of the available options keeps the ZAR 24,100 minimum protected."
request_109,514.34,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1,700 available."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025. This leaves at least ZAR 11,200 available."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available."
request_112,218.08,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.7 today. This leaves at least EUR 500 available.
request_113,22360.44,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Pay INR 36,500 in full on 15 September 2026. Paying earlier would take the balance below the INR 82,300 minimum."
request_114,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 January 2026. None of the available options keeps the INR 113,400 minimum protected."
request_115,13157.39,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 15 November 2024. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,7550.39,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options keeps the INR 80,300 minimum protected."
request_117,848.69,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,reduce_to:event_10878:20.50|stop:event_10833,"Make the required spending adjustments, then pay EUR 880 today. This keeps the projected balance above the required minimum."
request_118,644.98,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-02-15,none,"Use 3 installments of EUR 255.87, starting 7 December 2024. This leaves at least EUR 600 available."
request_119,58565.0,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,"Use 3 installments of INR 70,546.67, starting 18 May 2025. This leaves at least INR 151,200 available."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.6 today. This leaves at least USD 800 available.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available."
request_124,1406.49,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1,076.12, starting 11 June 2024. This leaves at least EUR 1,600 available."
request_125,6106.57,affordable_with_plan,full_payment,2025-11-06:6468,2025-11-15,reduce_to:event_11602:223.30,"Make the required spending adjustments, then pay ZAR 6,468 today. This keeps the projected balance above the required minimum."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available."
request_127,7933.25,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Pay ZAR 23,980 in full on 15 October 2024. Paying earlier would take the balance below the ZAR 41,000 minimum."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 42,600 available."
request_129,110.47,not_affordable,not_recommended,none,,none,Do not make this payment by 18 June 2026. None of the available options keeps the USD 800 minimum protected.
request_130,405.41,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Pay USD 1,978.8 in full on 15 February 2025. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1336.4,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-15,none,"Use 3 installments of USD 643.14, starting 6 May 2025. This leaves at least USD 1,100 available."
request_132,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 February 2026. None of the available options keeps the USD 1,100 minimum protected."
request_133,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,4469014.82,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,"Pay IDR 21,831,000 in full on 15 August 2025. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.8 today. This leaves at least USD 500 available.
request_136,496.37,affordable_later,wait,2024-06-15:560.40,2024-06-15,none,"Pay USD 560.4 in full on 15 June 2024. Paying earlier would take the balance below the USD 1,100 minimum."
request_137,24928.9,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Pay INR 80,100 in full on 15 January 2026. Paying earlier would take the balance below the INR 71,800 minimum."
request_138,820.78,affordable_with_plan,partial_payment,2026-04-07:820.78|2026-04-15:436.16,2026-04-15,none,"Pay EUR 820.78 today and the remaining EUR 436.16 on 15 April 2026. This completes the full request and keeps the EUR 2,300 minimum protected."
request_139,1368.31,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-15,none,"Use 3 installments of USD 802.88, starting 7 September 2024. This leaves at least USD 1,500 available."
request_140,1622.98,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 March 2025. None of the available options keeps the ZAR 21,600 minimum protected."
request_141,23234.58,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 February 2026. None of the available options keeps the INR 67,300 minimum protected."
request_142,1263.59,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.6 today. This leaves at least USD 1,700 available."
request_143,2653.42,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600 available.
request_145,24072.18,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,reduce_to:event_13409:3335|reduce_to:event_13341:2920|stop:event_13342,"Use 3 installments of INR 75,365.33, starting 20 March 2024. This leaves at least INR 155,400 available."
request_146,5788.82,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 October 2025. None of the available options keeps the INR 108,600 minimum protected."
request_147,548.58,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-15,none,"Use 3 installments of EUR 391.63, starting 8 April 2026. This leaves at least EUR 900 available."
request_148,7665.48,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-15,stop:event_13593,"Use 3 installments of ZAR 7,710.56, starting 14 June 2024. This leaves at least ZAR 20,000 available."
request_149,24545.82,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025. This leaves at least ZAR 42,100 available."
request_150,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 16 March 2026. None of the available options keeps the EUR 700 minimum protected.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available."
request_152,11035.96,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-15,reduce_to:event_14024:234.30,"Use 3 installments of ZAR 4,812.43, starting 12 February 2025. This leaves at least ZAR 11,900 available."
request_153,12.42,not_affordable,not_recommended,none,,none,"Do not make this payment by 24 September 2026. None of the available options keeps the USD 1,400 minimum protected."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1,300 available."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 56,300 available."
request_156,6670.46,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,4352610.76,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Pay IDR 23,503,000 in full on 15 May 2024. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025. This leaves at least INR 131,400 available."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398 today. This leaves at least ZAR 8,700 available."
request_160,574.47,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1,200 available."
request_161,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the IDR 23,010,400 minimum protected."
request_162,1159061.72,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 August 2026. None of the available options keeps the IDR 24,161,100 minimum protected."
request_163,8239209.8,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. None of the available options keeps the IDR 26,728,700 minimum protected."
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025. This leaves at least IDR 29,550,500 available."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600 today. This leaves at least INR 95,000 available."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 1,700 available."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available."
request_168,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 March 2026. None of the available options keeps the INR 114,400 minimum protected."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available."
request_170,30183194.4,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12,804,480, starting 6 August 2025. This leaves at least IDR 24,715,800 available."
request_171,30.56,not_affordable,not_recommended,none,,none,Do not make this payment by 10 September 2026. None of the available options keeps the EUR 500 minimum protected.
request_172,9598.68,affordable_with_plan,partial_payment,2024-06-05:9598.68|2024-06-15:601.32,2024-06-15,none,"Pay ZAR 9,598.68 today and the remaining ZAR 601.32 on 15 June 2024. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,57390.91,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,"Use 3 installments of INR 39,173.33, starting 21 November 2025. This leaves at least INR 79,100 available."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.3 today. This leaves at least EUR 1,700 available."
request_176,282.99,not_affordable,not_recommended,none,,none,Do not make this payment by 27 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_177,440.43,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.6 today. This leaves at least USD 1,300 available."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 7 December 2024. This leaves at least EUR 1,400 available."
request_179,6458243.33,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Pay IDR 41,648,000 in full on 15 July 2025. Paying earlier would take the balance below the IDR 41,430,800 minimum."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 37,300 available."
request_181,94.68,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 April 2024. None of the available options keeps the USD 2,000 minimum protected."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 31,100 available."
request_183,24607253.28,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,"Use 3 installments of IDR 9,313,546.67, starting 10 April 2026. This leaves at least IDR 11,878,300 available."
request_184,11631.75,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 July 2024. None of the available options keeps the INR 110,800 minimum protected."
request_185,318.41,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Pay EUR 1,257.3 in full on 15 January 2026. Paying earlier would take the balance below the EUR 1,300 minimum."
request_186,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the ZAR 22,000 minimum protected."
request_187,34941.55,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Pay INR 187,500 in full on 15 November 2024. Paying earlier would take the balance below the INR 128,300 minimum."
request_188,85.46,not_affordable,not_recommended,none,,none,Do not make this payment by 4 March 2025. None of the available options keeps the EUR 900 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.4 today. This leaves at least EUR 400 available.
request_190,428.95,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 February 2025. None of the available options keeps the EUR 1,600 minimum protected."
